feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fusicatenibacter	Time_c	Time_c	-0.00648705543574716	0.00241492108768479	500	490	0.0075483324604949	0.00900653304945414
Rikenellaceae_RC9_gut_group	Time_c	Time_c	0.0088197199770824	0.00330475320892803	500	335	0.00794379469495711	0.00937189261764603
Lachnospiraceae_ND3007_group	Time_c	Time_c	-0.00529360758339746	0.00202534710598821	500	481	0.00931898735505308	0.0108721519142286
Clostridia_vadinBB60_group	Time_c	Time_c	-0.00788200947976755	0.00310631335524052	500	398	0.0115727823899206	0.0133532104499084
Agathobacter	Time_c	Time_c	-0.00543599000471538	0.00215571767726306	500	499	0.0120948429596263	0.0136554678576426
Desulfovibrio	Time_c	Time_c	-0.00751823305536514	0.00297791115480099	500	271	0.0119936685349241	0.0136554678576426
Marvinbryantia	Time_c	Time_c	-0.00636984659997638	0.00295291492366922	500	449	0.0316313736310109	0.0353329173537888
Escherichia.Shigella	Time_c	Time_c	-0.00611531675179988	0.00299882401134799	500	454	0.0421287610194865	0.0465633674425903
Prevotellaceae_NK3B31_group	Time_c	Time_c	-0.00622659851555171	0.00312304397629205	500	146	0.0469041730102088	0.0513014392299159
Collinsella	Time_c	Time_c	0.00540792153982208	0.00283529309519853	500	484	0.0572399051885195	0.061960722111284
Subdoligranulum	Time_c	Time_c	-0.0026352939028399	0.00145986603502115	500	500	0.071853515128731	0.0769859090664975
CAG.873	Time_c	Time_c	-0.00340641502485155	0.00203570248548381	500	139	0.0950972352662329	0.100860704070247
Lachnospiraceae_UCG.010	Time_c	Time_c	0.00621528358464433	0.00390332362695413	500	390	0.112160880724378	0.117768924760597
Colidextribacter	Time_c	Time_c	0.00280468685429044	0.00227907876001889	500	480	0.219237284554159	0.227919949288977
