feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Izemoplasmatales	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0068	94	1199	0	175	112	0	24	0	0	0	3345	0	140	1	238	7	0	0	12	0	118	107	0	4	0	30	9	329	0	237	0	0	256	351	0	0	0	0	208	845	0	0	0	0	27	76	6	13	0	0	9	169	12	5	30	1241	0	0	0	0	13	0	5	0	0	316	0	15	0	0	222	0	97	0	4739	0	0	0	27	662	50	14	20	269	0	75	8	50	0	945	213	0	144	0	3	19	8	174	15	0	0	1	61	26	116	0
np0069	2	1383	102	526	17	0	79	0	23	0	8062	43	390	0	3736	15	0	1	0	0	0	5	6	0	0	11	170	1081	0	81	0	0	0	3253	0	31	0	12	99	1521	0	0	20	0	3	0	5	0	0	0	271	468	1	0	28	2	6	0	0	3	0	0	1	6	0	0	0	30	49	0	622	0	556	1573	0	0	0	0	5	14	410	0	0	291	0	490	0	0	385	0	150	0	1	0	25	13	3	41	0	0	5	0	21	0	9	0
np0070	0	11038	18	2359	0	0	118	0	1	0	38849	622	48	61	2847	6	0	0	0	0	0	931	0	419	17	38	30	364	31	4118	84	0	451	2275	0	21	232	69	89	6940	0	0	8	0	51	212	101	52	7	0	307	271	197	16	456	625	65	2	0	1	51	0	55	7	0	25	104	26	15	8	1405	1840	53	15	7963	0	0	0	271	8553	756	54	6	219	0	1127	2	29	0	4434	563	0	481	12	0	38	317	625	4	7	7	61	388	173	177	0
np0071	0	32	10	51	0	0	1086	0	0	0	506	17	29863	6	1218	2	0	0	0	0	0	1	0	0	0	0	1	1198	0	33	0	0	305	4	0	20	0	23	5	46	0	0	9	0	0	0	2	0	3	0	9	99	85	0	0	9	5	0	20629	0	1	0	0	8	0	16	0	10	37	0	19	0	11	0	2	0	0	0	88	417	37	28	0	38	0	0	0	11	0	15	23	0	3	0	0	10	6	210	0	5	0	3	1	2	2	0
np0072	4603	1220	219	2022	0	0	134	0	256	0	35474	798	5580	60	3519	103	0	0	0	0	0	37	80	0	0	130	15	901	0	376	0	0	0	2693	1	162	0	0	242	8294	0	0	2	0	539	0	19	30	9	0	1873	84	7	0	578	60	599	11	5	20	4	0	52	49	0	0	0	14	121	8	1180	2899	78	1860	1301	0	0	0	102	78	4823	0	5	616	0	2043	64	0	20	555	3922	0	3	0	2	14	66	197	1	0	1	0	0	1	119	0
np0073	11	511	48	636	20	10	14	16	0	10	11581	29	40	10	349	7	3	46	78	180	9	115	0	183	36	18	22	162	14	574	4	96	124	758	2	0	8	0	37	1753	3	10	0	56	9	8	5	1	5	4	6	115	6	3	30	543	13	29	0	3	9	40	45	3	1940	77	3	19	19	7	458	192	166	1045	1106	0	19	363	23	1563	149	3	0	226	89	243	0	8	0	1820	354	0	226	43	0	55	106	55	24	22	3	110	24	14	159	0
np0074	29	405	25	644	37	0	9	27	0	21	10165	53	83	6	607	11	4	8	134	782	47	79	0	507	68	16	36	60	10	789	3	54	152	701	0	55	27	9	359	2043	20	14	3	34	54	6	9	0	10	0	786	297	1	2	49	373	24	271	0	0	10	82	147	3	1042	81	12	5	13	15	1189	259	74	849	2381	0	143	1443	9	537	163	0	0	163	223	81	0	0	0	4134	645	1	213	113	0	117	70	46	12	4	0	1	72	17	993	0
np0076	30	72	0	68	19	0	29	125	3	0	8231	14	12	0	2899	5	0	0	4493	0	21	764	89	152	0	3	122	26	8	486	0	2	79	331	0	16	2	4	65	2977	2	23	0	17	124	0	1	9	3	0	271	383	2	13	31	1778	151	0	208	35	12	0	33	38	9113	29	0	1	35	0	41	1016	73	57	3307	2	0	0	2	30	204	0	0	701	0	200	0	0	23	893	56	0	0	24	3	0	39	9	0	3	0	176	147	0	218	0
np0077	3	298	13	290	23	5	14	27	0	0	4722	13	18	0	177	0	2	15	88	81	8	77	0	221	11	9	11	43	9	196	0	16	68	293	0	1	26	2	5	1276	0	10	0	20	16	5	6	0	0	11	0	46	10	0	26	339	8	24	2	0	0	0	162	0	614	39	2	8	4	4	161	159	79	495	608	0	14	309	16	743	136	0	0	126	199	278	0	0	0	739	371	2	84	34	0	35	82	23	16	9	2	44	23	12	86	0
np0079	10	1026	14	580	10	74	46	52	0	22	16837	37	84	4	831	12	5	14	178	195	26	155	0	544	102	16	22	120	7	724	13	4	78	951	0	1	39	11	7	1522	0	8	2	53	75	21	3	5	7	18	5	256	18	4	114	321	49	53	0	0	7	0	13	3	876	76	5	20	7	7	457	1457	84	187	1905	0	35	625	16	1297	232	3	0	245	1534	748	2	5	1	1393	890	11	162	142	2	109	93	163	28	26	0	158	96	27	198	0
np0080	0	1120	8	2201	222	0	86	0	82	0	112044	154	138	0	670	113	0	0	3	0	0	231	173	4	0	4	346	1393	91	4864	0	0	12	1478	12	87	0	0	866	1520	16	0	50	0	30	40	2	9	0	0	237	1947	62	0	22	514	22	0	70	0	20	0	0	14	0	25	0	14	175	22	515	639	39	825	42378	0	0	0	3	18955	139	69	14	644	1	3310	0	0	0	3071	3491	3	24	0	0	16	16	167	0	9	0	6	56	146	1119	0
np0081	584	277	9	2128	584	3	291	47	308	0	35724	67	883	22	3177	143	0	0	3	0	277	364	8	382	2	58	167	370	3	1517	0	42	715	1498	6	1156	0	5	13	976	18	30	0	192	152	15	16	23	0	0	2	840	432	16	444	1148	105	259	2830	53	128	0	36	973	5464	1094	37	17	44	0	1270	3017	1324	573	13672	0	0	0	125	0	3704	125	5	408	21	2886	6	0	67	1996	693	0	324	14	99	716	40	1768	5225	20	0	970	116	10	198	0
np0082	0	745	1	1077	0	0	809	0	10	0	7204	0	316	10	3652	26	24	0	0	0	0	0	1234	0	0	9	0	25	0	0	0	0	1	186	0	111	0	178	131	5108	0	0	1	0	17	0	0	10	0	0	289	514	7	15	0	276	6430	0	1	0	11	0	0	52	0	0	0	0	425	0	0	0	1288	3	58863	0	0	0	21	293	0	0	17	0	0	2473	0	0	3	3	0	0	0	0	0	0	4908	456	0	0	8	0	0	0	0	0
