feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G__Parasutterella.10	Time_c	Time_c	-0.00228839354424861	0.00199140553662897	500	210	0.251234727877305	0.273443322606791
F__Oscillospiraceae_002.10	Time_c	Time_c	-0.00331481575682928	0.00289875377663723	500	324	0.253549468626852	0.275455396982481
G__Phascolarctobacterium.9	Time_c	Time_c	0.001104074282369	0.000975951687099713	500	126	0.258662278137038	0.280425482955144
G__Rikenellaceae__RC9__gut__group.2	Time_c	Time_c	0.00116120455168119	0.00102733998456301	500	131	0.259073288821504	0.280425482955144
G__Christensenellaceae__R_7__group.12	Time_c	Time_c	-0.00395249898199173	0.00356947210894416	500	366	0.268873172051989	0.290500995763667
S__Desulfovibrio__piger	Time_c	Time_c	-0.00279851849275515	0.00253197111585411	500	179	0.26975196185982	0.290918630399916
G__Catenibacterium	Time_c	Time_c	-0.00271695875439468	0.00248503515616417	500	140	0.274953475358212	0.295988167462119
F__Oscillospiraceae_002.16	Time_c	Time_c	-0.00464059235849998	0.00431740894246089	500	237	0.283132196326922	0.304238414598565
G__Phascolarctobacterium.14	Time_c	Time_c	-0.0019999057122074	0.00207601755724273	500	259	0.336000585520425	0.360392642545502
F__Lachnospiraceae.30	Time_c	Time_c	-0.00275624386631643	0.00294922154509998	500	170	0.350614712005051	0.375386403614104
G__Prevotella.1	Time_c	Time_c	-0.00212287202988515	0.00227561439771078	500	215	0.35148448487349	0.375637125787039
G__Phascolarctobacterium.22	Time_c	Time_c	0.00120616666231543	0.0012955144480528	500	107	0.352437092633622	0.37597531001168
G__Clostridia__vadinBB60__group.17	Time_c	Time_c	-0.00339974611432488	0.00370057215083728	500	298	0.358840309992143	0.382116438207849
G__Phascolarctobacterium.10	Time_c	Time_c	0.000997284201530425	0.00111103401928905	500	127	0.369966667528561	0.393255936167949
G__Muribaculaceae.49	Time_c	Time_c	-0.00196496239163086	0.00219875062344021	500	161	0.37207198333639	0.394783738154051
S__Parabacteroides__johnsonii.2	Time_c	Time_c	-0.00177317917832934	0.00203701237963101	500	84	0.384596338089189	0.407341282814894
G__Lachnospiraceae__ND3007__group.7	Time_c	Time_c	-0.00151226661114959	0.00174821152920135	500	190	0.387573315791127	0.409759981453588
S__Bifidobacterium__longum.1	Time_c	Time_c	-0.00307829892023283	0.00374820318272011	500	411	0.412013851552095	0.434821761191586
S__Azospirillum__sp.	Time_c	Time_c	-0.00352570882009141	0.00430009781920298	500	234	0.412787562512882	0.434861763716779
S__Prevotella__copri	Time_c	Time_c	0.00292515592152893	0.00366660106536405	500	309	0.425502039088855	0.447458550002693
G__Ruminococcus__gauvreauii__group.3	Time_c	Time_c	-0.00169514635828653	0.00214368005756428	500	472	0.429582503062974	0.450947174618504
G__Subdoligranulum.5	Time_c	Time_c	-0.00204090239172389	0.00261875360464737	500	459	0.436271652965164	0.457156998053922
G__Colidextribacter	Time_c	Time_c	0.00270405981908726	0.00352057223313343	500	432	0.442927928600384	0.463310452748367
G__Prevotella.37	Time_c	Time_c	-0.00200355619523581	0.00262733239378426	500	267	0.446193451071159	0.465901642372889
G__Lachnoclostridium	Time_c	Time_c	-0.00264001188212068	0.00359654916379784	500	231	0.463384123335826	0.482998266122527
G__Prevotella.69	Time_c	Time_c	-0.00135013171228309	0.00190005185375736	500	117	0.477789728781277	0.497136848080518
G__Catenibacterium.2	Time_c	Time_c	-0.00275680231849936	0.00395431426015666	500	305	0.486133799272735	0.504929833691013
G__Faecalibacterium.53	Time_c	Time_c	-0.00149701123540946	0.00235039609029117	500	487	0.524567451758579	0.543893621033895
