feature	Acidaminococcus	Agathobacter	Akkermansia	Alistipes	Allisonella	Anaeroplasma	Anaerostipes	Asteroleplasma	Bacillus	Bacteroidales_RF16_group	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Butyrivibrio	CAG.352	CAG.873	Catenibacterium	Christensenellaceae_R.7_group	Citrobacter	Clostridia_UCG.014	Clostridia_vadinBB60_group	Clostridium_sensu_stricto_1	Colidextribacter	Collinsella	Coprobacter	Coprococcus	Defluviitaleaceae_UCG.011	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Erysipelatoclostridiaceae	Erysipelotrichaceae_UCG.003	Escherichia.Shigella	Faecalibacterium	Family_XIII_AD3011_group	Family_XIII_UCG.001	Flavonifractor	Fournierella	Fusicatenibacter	Holdemanella	Incertae_Sedis	Intestinibacter	Intestinimonas	Klebsiella	Lachnoclostridium	Lachnospira	Lachnospiraceae_FCS020_group	Lachnospiraceae_ND3007_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG.004	Lachnospiraceae_UCG.010	Lactobacillus	Lactococcus	Marvinbryantia	Megasphaera	Methanobrevibacter	Monoglobus	Muribaculaceae	NK4A214_group	Negativibacillus	Odoribacter	Oscillibacter	Oscillospira	Parabacteroides	Paraprevotella	Parasutterella	Phascolarctobacterium	Prevotella	Prevotellaceae_NK3B31_group	RF39	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminococcus	Slackia	Streptococcus	Subdoligranulum	Succinivibrio	Sutterella	Terrisporobacter	Turicibacter	Tyzzerella	UCG.002	UCG.003	UCG.004	UCG.005	UCG.010	Weissella	X.Eubacterium._coprostanoligenes_group	X.Eubacterium._eligens_group	X.Eubacterium._hallii_group	X.Eubacterium._ruminantium_group	X.Eubacterium._siraeum_group	X.Eubacterium._ventriosum_group	X.Eubacterium._xylanophilum_group	X.Ruminococcus._gauvreauii_group	X.Ruminococcus._torques_group	uncultured	vadinBE97
np0746	31	2542	1	770	13	0	83	40	4	364	18051	101	58	0	549	2	0	0	94	367	422	71	117	684	226	15	30	46	20	207	0	138	82	141	3	81	12	70	37	212	20	2	0	16	108	8	89	5	2	176	164	2	1	48	219	4	68	11	0	9	32	9	4	8524	52	53	4	5	18	2902	58	37	890	2300	0	84	939	11	13	240	0	0	82	39	344	2	0	0	1513	527	57	94	172	39	38	61	45	29	6	2	2	33	0	592	0
np0748	73	8660	26	288	17	0	11	7	0	133	5746	20	907	10	1503	2	3	0	118	213	72	71	2	1478	77	34	43	148	1	442	6	12	240	411	0	55	30	14	16	553	0	14	0	20	302	5	82	6	0	4	206	0	17	160	150	3	10	233	0	52	81	85	2	889	187	1	12	7	36	273	57	75	972	12615	0	11	2563	41	25	439	14	0	956	323	347	4	7	0	1157	953	19	62	64	110	72	26	156	3	3	0	0	149	2	778	0
np0749	21	2720	58	935	15	132	90	20	75	0	18676	56	122	14	945	17	8	43	532	153	36	175	0	1609	58	39	15	196	33	790	11	19	299	770	2	22	50	11	18	1661	0	1	2	48	97	35	6	15	3	3	123	34	5	101	476	54	9	0	0	13	20	58	12	2353	87	0	47	9	12	878	865	107	795	8984	0	17	362	48	729	1012	4	0	397	264	859	4	20	0	561	784	0	88	76	0	52	219	170	23	13	4	46	90	30	103	0
np0751	4113	2602	41	550	1322	0	609	10	110	0	11098	23	9417	6	9672	170	0	43	68	0	30	486	386	4389	25	39	121	1331	0	3407	11	27	288	1818	1	74	0	17	23	14982	0	27	0	0	246	12	6	0	8	170	876	62	69	283	3867	173	6	25	0	288	0	17	46	428	206	0	11	47	23	105	935	572	738	13424	523	18	712	58	229	4930	17	0	4822	0	914	6	23	0	5817	628	1	221	31	0	9	106	292	0	83	0	46	167	161	95	0
np0754	19	1445	25	404	13	86	82	5	11	0	7131	31	91	2	814	7	4	0	409	61	40	84	0	1006	18	21	10	145	11	515	11	6	133	486	0	4	8	14	19	975	0	0	2	21	235	15	6	6	0	2	80	23	7	108	218	43	3	0	0	6	4	5	4	479	67	3	13	2	6	314	490	68	258	6180	0	5	201	35	352	932	0	0	238	210	554	0	3	1	314	399	0	33	21	0	43	101	128	8	5	4	21	92	17	31	0
np0755	0	304	298	4145	10	0	120	144	10	0	9098	133	838	33	1742	13	35	21	821	0	46	976	12	2402	54	43	56	721	11	1561	23	0	277	1457	0	6	281	30	48	2736	1	3	0	2	257	183	23	3	1	2	166	144	37	517	352	56	7	7	2	56	0	250	19	583	267	0	129	5	39	358	481	309	420	5968	0	70	1534	179	1160	3429	6	30	943	0	285	6	42	9	1292	208	19	353	108	0	37	864	676	1	24	0	90	60	44	1153	76
np0756	435	3082	0	26	79	0	7	1	12	0	299	0	232	0	693	0	0	0	14	15	25	16	31	334	42	9	0	248	0	2252	2	0	1583	1733	0	148	0	0	459	1852	2	0	0	4	16	12	3	0	0	152	191	6	2	71	56	40	2	8	0	19	116	18	8	182	125	0	0	2	0	9	44	0	620	29578	0	0	41	11	1	71	1	0	747	55	25	0	1	0	240	126	0	12	16	1	16	32	241	0	3	0	0	37	2	70	0
np0757	0	202	18	94	128	0	116	2	36	0	2265	11	6467	0	604	4	2	0	37	0	14	148	609	223	17	21	46	562	0	857	8	0	223	946	7	180	179	0	20	5318	0	7	0	0	47	36	0	0	0	86	602	38	0	131	32	40	52	199	0	9	0	290	31	199	66	2	0	0	3	37	2252	151	178	6339	0	14	1192	79	1	454	1	0	364	0	129	1	7	0	792	194	8	28	5	0	0	406	644	0	0	0	132	48	8	275	3
np0758	0	135	4	1871	27	6	34	164	29	0	28909	80	125	11	1237	25	0	0	119	0	16	121	0	97	4	27	40	157	11	2510	0	862	523	739	0	142	0	13	23	868	21	0	16	0	33	0	3	10	8	0	350	189	5	171	1228	93	181	214	0	12	0	0	36	665	172	0	21	6	0	397	1004	274	137	40	145	0	854	34	27	1191	0	0	309	0	1157	4	5	4	1430	1189	0	115	12	4	10	95	290	0	12	10	222	47	5	415	0
np0759	1307	33	0	20	43	0	560	0	0	0	71	3	356	0	1639	38	0	0	1	0	984	0	2	11	3	18	0	241	0	29	0	0	463	424	0	0	0	0	10	7974	0	1	0	0	22	14	0	3	0	105	69	0	12	0	5	10	0	151	0	0	777	197	0	32	83	0	0	0	0	6	0	14	65	17608	0	0	19	16	0	28	0	0	254	10	313	0	0	0	29	319	0	2	1	4	0	0	312	1	0	0	5	617	0	459	0
