feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G__Prevotella.47	Time_c	Time_c	0.0152373613617268	0.00293322389102521	1071	868	2.58911032896327e-07	4.08915044018802e-07
G__Asteroleplasma.4	Time_c	Time_c	-0.0159843870373168	0.00309959713637946	1071	667	3.118479246472e-07	4.91222192650075e-07
F__Oscillospiraceae_002.30	Time_c	Time_c	-0.0149695879529808	0.00290647066160199	1071	608	3.26179893022377e-07	5.12445779300944e-07
G__Sutterella.8	Time_c	Time_c	-0.0126383466278936	0.0024752327374988	1071	390	4.03426324778884e-07	6.32140461661401e-07
S__Sutterellaceae__bacterium	Time_c	Time_c	-0.00966003477979261	0.00190239539345809	1071	523	4.72456596119834e-07	7.38368031108745e-07
G__Clostridia__UCG_014.16	Time_c	Time_c	-0.0160474551285855	0.00316691936863622	1071	484	4.91148828427993e-07	7.65576633345983e-07
G__Clostridia__vadinBB60__group.23	Time_c	Time_c	-0.012139513701164	0.00241943170748844	1071	631	6.38372902011169e-07	9.9247037109549e-07
F__Lachnospiraceae.42	Time_c	Time_c	-0.0143350149356436	0.00287289094456717	1071	781	7.18521472170045e-07	1.1141748542481e-06
G__Eubacterium__eligens__group.7	Time_c	Time_c	-0.0108550934845287	0.00219351325365183	1071	219	9.03298861132011e-07	1.39707103651764e-06
S__Massiliprevotella__massiliensis.4	Time_c	Time_c	0.0118575303074776	0.00240491492341643	1071	788	9.96973113462147e-07	1.53796627580595e-06
G__Parasutterella.9	Time_c	Time_c	-0.0103211263562541	0.00209497067688287	1071	865	1.01407076505695e-06	1.56030991427577e-06
G__Agathobacter.11	Time_c	Time_c	-0.00771374266681144	0.00157401125058907	1071	275	1.14336829918334e-06	1.75473232548189e-06
G__Paraprevotella.7	Time_c	Time_c	-0.00997349402186418	0.00204427765018344	1071	225	1.26273496212508e-06	1.93295582663762e-06
G__Megasphaera.2	Time_c	Time_c	0.0109368438474348	0.00224914728577261	1071	334	1.37851368296329e-06	2.10478943408972e-06
G__Prevotella.30	Time_c	Time_c	0.01660039076952	0.00341521276496539	1071	556	1.39295517249264e-06	2.12141387239313e-06
G__Allisonella.7	Time_c	Time_c	0.013207580413237	0.00272144871574118	1071	736	1.44705137942639e-06	2.19819255347978e-06
G__Prevotella.5	Time_c	Time_c	-0.00938876339100606	0.00193774633357079	1071	386	1.51393007365619e-06	2.29394988317956e-06
G__Dorea.16	Time_c	Time_c	-0.00546174881271474	0.00112807214129322	1071	191	1.53969048722129e-06	2.32707650853446e-06
S__Bacteroides__fluxus	Time_c	Time_c	-0.00590294545675411	0.00124191226585278	1071	512	2.37656906696948e-06	3.58285791156763e-06
G__Faecalibacterium.33	Time_c	Time_c	0.00816786965653931	0.00173652954999201	1071	597	2.99156549806824e-06	4.49865139130161e-06
G__Lachnospiraceae__UCG_004.5	Time_c	Time_c	-0.0115481883756535	0.00246440850514658	1071	983	3.23008882399546e-06	4.84513323599319e-06
